window_id,Start,Stop
box175,2020-05-07 14:06:24.589,2020-05-07 14:06:26.322
box176,2020-05-07 14:08:42.324,2020-05-07 14:08:44.093
box177,2020-05-07 14:09:41.763,2020-05-07 14:09:43.646
box178,2020-05-07 14:10:16.832,2020-05-07 14:10:18.590
box179,2020-05-07 14:13:09.209,2020-05-07 14:13:10.971
box180,2020-05-07 14:14:47.688,2020-05-07 14:14:49.464
box181,2020-05-07 14:15:37.984,2020-05-07 14:15:39.753
box182,2020-05-07 14:19:06.224,2020-05-07 14:19:07.982
box183,2020-05-07 14:19:14.462,2020-05-07 14:19:16.267
box184,2020-05-07 14:23:43.473,2020-05-07 14:23:45.242
box185,2020-05-07 14:24:51.704,2020-05-07 14:24:53.462
box186,2020-05-07 14:26:03.564,2020-05-07 14:26:05.283
box187,2020-05-07 14:28:17.924,2020-05-07 14:28:19.676
box188,2020-05-07 14:29:50.399,2020-05-07 14:29:52.178
box189,2020-05-07 14:30:14.920,2020-05-07 14:30:16.680
box190,2020-05-07 14:32:28.144,2020-05-07 14:32:29.914
box191,2020-05-07 14:33:51.726,2020-05-07 14:33:53.473
box192,2020-05-07 14:36:38.900,2020-05-07 14:36:40.663
box193,2020-05-07 14:45:06.446,2020-05-07 14:45:08.210
box194,2020-05-07 14:53:22.188,2020-05-07 14:53:23.953
box195,2020-05-07 14:53:36.331,2020-05-07 14:53:38.051
box196,2020-05-07 14:54:04.383,2020-05-07 14:54:06.136
box197,2020-05-07 14:58:54.194,2020-05-07 14:58:55.961
box198,2020-05-07 15:09:14.371,2020-05-07 15:09:16.127
box199,2020-05-07 15:21:00.220,2020-05-07 15:21:01.985
box200,2020-05-07 15:22:16.464,2020-05-07 15:22:18.235
box201,2020-05-07 15:23:37.094,2020-05-07 15:23:38.851
box202,2020-05-07 15:34:13.606,2020-05-07 15:34:15.278
box203,2020-05-07 15:35:05.637,2020-05-07 15:35:07.339
box204,2020-05-07 15:36:00.222,2020-05-07 15:36:01.989
box205,2020-05-07 15:38:21.448,2020-05-07 15:38:23.220
box206,2020-05-07 15:42:19.108,2020-05-07 15:42:20.878
box207,2020-05-08 07:18:40.149,2020-05-08 07:18:41.906
box208,2020-05-08 07:26:03.270,2020-05-08 07:26:05.040
box209,2020-05-08 07:26:37.822,2020-05-08 07:26:39.719
box210,2020-05-08 07:27:23.024,2020-05-08 07:27:24.833
box211,2020-05-08 07:32:58.015,2020-05-08 07:32:59.771
box212,2020-05-08 07:38:16.446,2020-05-08 07:38:18.199
box213,2020-05-08 07:38:39.974,2020-05-08 07:38:41.745
box214,2020-05-08 08:05:28.137,2020-05-08 08:05:29.911
box215,2020-05-08 08:05:35.240,2020-05-08 08:05:37.069
box216,2020-05-08 08:05:54.938,2020-05-08 08:05:56.711
box217,2020-05-08 08:06:24.467,2020-05-08 08:06:26.192
box218,2020-05-08 08:08:05.778,2020-05-08 08:08:07.557
box219,2020-05-08 08:13:16.381,2020-05-08 08:13:18.141
box220,2020-05-08 08:24:26.667,2020-05-08 08:24:28.461
box221,2020-05-08 08:52:00.204,2020-05-08 08:52:01.976
box222,2020-05-08 09:01:40.013,2020-05-08 09:01:41.773
